id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27376,YBGR,small_airport,Bridgewater Airport,-36.61669922,143.9499969482420,91,OC,AU,AU-VIC,,0,YBGR,,,,,,50,2008-08-01T07:35:09+00:00
27422,YBUP,small_airport,Bunyip Airport,-38.01670074,145.75,,OC,AU,AU-VIC,,0,YBUP,,,,,,50,2008-06-26T14:52:34+00:00
27457,YCHL,small_airport,Charlton Airport,-36.25,143.3000030517580,,OC,AU,AU-VIC,,0,YCHL,,,,,,50,2008-06-26T14:52:34+00:00
27548,YELS,small_airport,Earlston Airport,-36.59628677,145.72186279296900,,OC,AU,AU-VIC,,0,YELS,,,,,,50,2009-03-27T10:33:21+00:00
27580,YGBO,small_airport,Gabo Island Airport,-37.56669998,149.89999389648400,,OC,AU,AU-VIC,,0,YGBO,,,,,,50,2008-06-13T14:30:04+00:00
27645,YITT,small_airport,Mitta Mitta Airport,-36.51387874,147.3590183,820,OC,AU,AU-VIC,,0,YITT,,,,,Victorian Aerial Fire Bases,50,2011-07-18T12:44:26+00:00
27709,YLBO,small_airport,Lake Bolac Airport,-37.68330002,142.88299560546900,,OC,AU,AU-VIC,,0,YLBO,,,,,,50,2008-06-13T14:30:04+00:00
27743,YLVB,small_airport,Lovely Banks Airport,-38.03329849,144.33299255371100,,OC,AU,AU-VIC,,0,YLVB,,,,,,50,2008-06-26T14:52:34+00:00
27768,YMFD,small_airport,Mansfield Airport,-37.06669998,146.1170044,1050,OC,AU,AU-VIC,,0,YMFD,,,,,,50,2011-08-31T21:31:34+00:00
27883,YPID,small_airport,Phillip Island Airport,-38.52330017,145.32699584960900,13,OC,AU,AU-VIC,,0,YPID,,,,,,50,2008-08-01T07:47:51+00:00
28028,YWAN,closed,Wallan Airport,-37.43330002,144.98800659179700,290,OC,AU,AU-VIC,,0,YWAN,,,,,,50,2009-01-04T04:52:52+00:00
28092,YYEA,small_airport,Yeaburn Airport,-37.17279816,145.32200622558600,,OC,AU,AU-VIC,,0,YYEA,,,,,,50,2008-06-26T14:52:34+00:00
38281,YCES,small_airport,Ceres Airport,-38.14830017,144.25799560546900,,OC,AU,AU-VIC,,0,YCES,,,,,,50,2008-08-01T07:36:43+00:00
38312,YCWO,small_airport,Chatsworth Airport,-37.83330154,142.7169952392580,,OC,AU,AU-VIC,,0,YCWO,,,,,,50,2008-08-01T07:38:02+00:00
38351,YFCK,small_airport,Fish Creek Airport,-38.71500015,146.05299377441400,,OC,AU,AU-VIC,,0,YFCK,,,,,,50,2008-08-01T07:39:51+00:00
38428,YLET,small_airport,Lakes Entrance Airport,-37.87919998,147.98699951171900,,OC,AU,AU-VIC,,0,YLET,,,,,,50,2008-08-01T07:43:05+00:00
38438,YLOD,small_airport,Longwood Airport,-36.80780029,145.45700073242200,,OC,AU,AU-VIC,,0,YLOD,,,,,,50,2008-08-01T07:43:29+00:00
38540,YOUY,small_airport,Ouyen Airport,-35.08901243,142.3544884,,OC,AU,AU-VIC,,0,YOUY,OYN,,,,,50,2011-09-22T03:42:09+00:00
38649,YWLP,small_airport,Wilsons Promontory Airport,-39.1310997,146.4250030517580,,OC,AU,AU-VIC,,0,YWLP,,,,,,50,2008-08-01T07:52:37+00:00
42791,AU-0028,small_airport,Moonambel Airfield,-36.97166824,143.28611755371100,1100,OC,AU,AU-VIC,,0,,,,,,Summerfield Airstrip,50,2009-01-04T05:23:18+00:00
42792,YSLE,small_airport,St Leonards Airfield,-38.17010117,144.68899536132800,47,OC,AU,AU-VIC,,0,YSLE,,,,,,50,2009-01-04T05:29:06+00:00
26966,YCUN,small_airport,Cunderdin Airport,-31.62220001,117.21700286865200,705,OC,AU,AU-WA,,0,YCUN,,,,,,50,2008-06-26T14:52:34+00:00
